n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,recall_micro_max,precision_micro_max,time
1300.0,12.0,0.26,0.15,4.0,0.3529697911062217,0.7478172902163849,0.23897447024432095
1900.0,28.0,0.1,0.11,2.0,0.3529697911062217,0.7478172902163849,0.32920995655516994
500.0,32.0,0.26,0.17,4.0,0.3529697911062217,0.7478172902163849,0.07792509399639017
900.0,16.0,0.02,0.01,4.0,0.468245606409061,0.7612634012666956,0.34615325594367174
900.0,28.0,0.18,0.03,2.0,0.3644883352650943,0.7535374140553648,0.1725914521554131
1900.0,40.0,0.38,0.07,2.0,0.3529697911062217,0.7478172902163849,0.3231517564100773
1900.0,40.0,0.06,0.19,8.0,0.3529697911062217,0.7478172902163849,0.4045827234644055
500.0,16.0,0.38,0.11,10.0,0.3644802617325797,0.7537999593463256,0.12835151599142336
900.0,16.0,0.18,0.09,2.0,0.3564710870937192,0.7496470169949082,0.15406443145197374
900.0,28.0,0.14,0.15,6.0,0.3529697911062217,0.7478172902163849,0.18435929373038296
300.0,12.0,0.06,0.13,2.0,0.3529697911062217,0.7478172902163849,0.03618287990831131
100.0,20.0,0.26,0.03,6.0,0.3744846149795228,0.7571983097216191,0.01452803830170813
1700.0,32.0,0.18,0.11,6.0,0.3663408232914993,0.7538787298421298,0.4172755383239775
300.0,12.0,0.06,0.11,4.0,0.3597791644722104,0.7507562952560269,0.048961119511639534
1900.0,8.0,0.02,0.15,6.0,0.3529697911062217,0.7478172902163849,0.4053270709520882
1500.0,40.0,0.1,0.11,6.0,0.36653701203721945,0.7539775507808268,0.36505231202288946
1700.0,40.0,0.18,0.03,4.0,0.3780959117409246,0.7584831611539393,0.44809846159135613
1300.0,12.0,0.14,0.11,2.0,0.3529697911062217,0.7478172902163849,0.2199597537678467
1700.0,36.0,0.14,0.17,6.0,0.3529697911062217,0.7478172902163849,0.34214817259435326
700.0,8.0,0.34,0.01,10.0,0.3765981119275662,0.7583014751040982,0.26283918117045046
500.0,36.0,0.18,0.19,4.0,0.3529697911062217,0.7478172902163849,0.07490167912960134
300.0,32.0,0.34,0.09,2.0,0.3529697911062217,0.7478172902163849,0.03684447309208884
900.0,8.0,0.18,0.07,4.0,0.3698645894964812,0.7556637175187012,0.20481771324433007
500.0,16.0,0.14,0.09,6.0,0.3764272124102525,0.7575462412065511,0.1222060521463829
700.0,20.0,0.26,0.19,4.0,0.3529697911062217,0.7478172902163849,0.11148762839352692
300.0,36.0,0.38,0.19,6.0,0.3529697911062217,0.7478172902163849,0.04427125325636003
1500.0,36.0,0.38,0.01,10.0,0.3713236490411924,0.7567398108078764,0.5463619723702952
300.0,36.0,0.1,0.01,4.0,0.4132715601779133,0.7611881769562407,0.08179288817105264
700.0,32.0,0.14,0.17,6.0,0.3529697911062217,0.7478172902163849,0.1313311313086965
100.0,16.0,0.14,0.13,2.0,0.3529697911062217,0.7478172902163849,0.0008818827917040882
1500.0,24.0,0.26,0.17,10.0,0.3529697911062217,0.7478172902163849,0.36771285186225255
1500.0,28.0,0.34,0.11,10.0,0.36556096419114653,0.7537554254586948,0.4338596214682116
1300.0,12.0,0.1,0.19,10.0,0.3529697911062217,0.7478172902163849,0.29636474387621997
1100.0,4.0,0.1,0.01,2.0,0.3744249761276025,0.7584516028668428,0.22272786871857525
1100.0,12.0,0.26,0.19,10.0,0.3529697911062217,0.7478172902163849,0.24827595402117253
500.0,40.0,0.3,0.13,4.0,0.3529697911062217,0.7478172902163849,0.08501300376041669
100.0,28.0,0.22,0.11,10.0,0.37759125971535,0.7561375380524143,0.016071688990780764
700.0,24.0,0.18,0.11,2.0,0.3529697911062217,0.7478172902163849,0.11084879006087787
100.0,12.0,0.26,0.11,2.0,0.3529697911062217,0.7478172902163849,0.0012742066238296545
1900.0,40.0,0.3,0.09,6.0,0.3634150605281973,0.7529790046342615,0.46857657910622974
1900.0,4.0,0.14,0.03,6.0,0.389685903272044,0.7621882768339923,0.6086821700068193
700.0,4.0,0.38,0.19,2.0,0.3529697911062217,0.7478172902163849,0.09803197573710272
1500.0,28.0,0.34,0.07,4.0,0.3568754236820809,0.7498967795153264,0.31509383806397895
1300.0,16.0,0.22,0.19,6.0,0.3529697911062217,0.7478172902163849,0.24630739605288954
1500.0,32.0,0.26,0.01,4.0,0.3667294852081153,0.7546292301917163,0.376276071245065
1300.0,16.0,0.34,0.03,6.0,0.3652718124491186,0.7542058494168064,0.3522471818299241
1100.0,16.0,0.38,0.07,10.0,0.3664456084794239,0.7546466868422836,0.3426608498603409
500.0,28.0,0.34,0.09,6.0,0.3628202619138968,0.7529592508880538,0.10764244751372574
500.0,16.0,0.38,0.01,10.0,0.37219341351957774,0.7570161714311089,0.17208138156519232
1900.0,8.0,0.26,0.19,8.0,0.3529697911062217,0.7478172902163849,0.4049721536823849
1900.0,24.0,0.38,0.09,6.0,0.3594055869119304,0.7512038254577451,0.44104253971786683
1300.0,36.0,0.34,0.17,4.0,0.3529697911062217,0.7478172902163849,0.2286874895893175
1700.0,36.0,0.02,0.01,6.0,0.4807896466441194,0.7598971665414481,0.8711112830757612
700.0,40.0,0.18,0.01,4.0,0.3811152614787353,0.7590114943149854,0.1855900910408929
1900.0,12.0,0.18,0.07,10.0,0.3932993451793,0.7606881504648124,0.7399950507593036
1100.0,12.0,0.22,0.09,4.0,0.3621371738637379,0.7523123264459348,0.23430888152650342
1700.0,12.0,0.38,0.13,4.0,0.3529697911062217,0.7478172902163849,0.31438997311814587
1900.0,32.0,0.02,0.03,2.0,0.3976360455527684,0.7631737895404519,0.4265410221741068
300.0,28.0,0.02,0.03,2.0,0.3995691086364347,0.7634225955772543,0.0534541345611048
1500.0,28.0,0.1,0.09,4.0,0.3662270377106219,0.7539476388508578,0.3324400741787995
1900.0,16.0,0.06,0.17,8.0,0.3529697911062217,0.7478172902163849,0.4268174433054554
100.0,12.0,0.06,0.03,2.0,0.3991939963534537,0.7618927134259692,0.006696977264220708
1300.0,16.0,0.14,0.11,4.0,0.3583321384992412,0.7504600093269176,0.26709088359339067
1900.0,4.0,0.14,0.17,2.0,0.3529697911062217,0.7478172902163849,0.3006997885079226
1100.0,40.0,0.22,0.13,4.0,0.3531635941050977,0.7479173571812701,0.21053168808137734
1300.0,36.0,0.02,0.05,2.0,0.3783856130759458,0.7598449058728912,0.25982622488877094
1900.0,24.0,0.06,0.07,6.0,0.3869890305311065,0.7589158338237443,0.5624357579241681
500.0,16.0,0.02,0.01,4.0,0.4665947661967377,0.7607832242488987,0.18418046480535938
1500.0,28.0,0.34,0.15,4.0,0.3529697911062217,0.7478172902163849,0.2724857689244293
700.0,36.0,0.1,0.19,10.0,0.3529697911062217,0.7478172902163849,0.1519478120046307
300.0,16.0,0.1,0.09,8.0,0.3795356545207256,0.7570944746440403,0.079824999725655
1900.0,40.0,0.18,0.15,10.0,0.3572711114905485,0.7495029947052928,0.5052992781006581
900.0,32.0,0.1,0.15,2.0,0.3529697911062217,0.7478172902163849,0.13720599823384955
100.0,16.0,0.1,0.07,4.0,0.38160009225717656,0.7589358097140769,0.008615304437444005
100.0,40.0,0.1,0.05,10.0,0.429228054888774,0.7613409650372546,0.030879674577700175
500.0,36.0,0.22,0.13,8.0,0.3634104210714895,0.7525242669542029,0.11812405400800084
500.0,40.0,0.06,0.09,8.0,0.380408704625992,0.7576480618667472,0.14464106645380004
300.0,32.0,0.14,0.13,10.0,0.36820291603072897,0.7543344310281735,0.0732846487322995
1700.0,20.0,0.26,0.01,2.0,0.35677864385874736,0.7498441183824816,0.3301554006614004
1700.0,28.0,0.14,0.11,10.0,0.3765356577170085,0.7569822850499766,0.5406365633576486
1300.0,12.0,0.38,0.03,10.0,0.3696745727116665,0.7560824775861767,0.4536818093252765
1300.0,20.0,0.22,0.19,4.0,0.3529697911062217,0.7478172902163849,0.22080322124931473
500.0,24.0,0.22,0.11,6.0,0.3678008898391129,0.7544394767590398,0.11085933153929677
1100.0,20.0,0.18,0.07,2.0,0.360185348915722,0.7514717595949921,0.19882899682191507
300.0,24.0,0.3,0.03,8.0,0.3776757912298881,0.7591292870515598,0.08873008642067494
1700.0,8.0,0.02,0.09,10.0,0.38461778469834457,0.7570800831323116,0.6032469551677335
1500.0,8.0,0.26,0.03,10.0,0.3887198573305484,0.7605696164252093,0.6157485083811224
1700.0,28.0,0.34,0.19,2.0,0.3529697911062217,0.7478172902163849,0.26117872360588534
500.0,12.0,0.26,0.07,2.0,0.35364582308946224,0.7481615685287111,0.07777454699332349
1700.0,24.0,0.22,0.07,6.0,0.3734931717807624,0.7565513056392973,0.4698479227226735
1500.0,20.0,0.22,0.11,10.0,0.37614358958412175,0.7568022861174922,0.4751902932291524
1500.0,24.0,0.18,0.05,8.0,0.3929015779667099,0.7604558289590206,0.5468818371238668
1700.0,36.0,0.26,0.07,2.0,0.3539433213991309,0.7483324783977661,0.30405468861871093
500.0,4.0,0.1,0.07,4.0,0.3743784052753597,0.7575717639037901,0.1070918586737681
700.0,20.0,0.1,0.15,8.0,0.3543321148445173,0.7485246255240297,0.1578358602412933
1300.0,20.0,0.3,0.13,4.0,0.3529697911062217,0.7478172902163849,0.24779108554763618
100.0,4.0,0.3,0.17,8.0,0.3529697911062217,0.7478172902163849,0.006540243869693832
700.0,16.0,0.02,0.09,4.0,0.365748213860695,0.7537165187205537,0.14668845340895764
1500.0,12.0,0.14,0.19,8.0,0.3529697911062217,0.7478172902163849,0.3156337706501659
1500.0,4.0,0.22,0.01,6.0,0.37749673268324624,0.7587906257091206,0.4652681107263576
700.0,16.0,0.06,0.03,8.0,0.4469171171747544,0.7614831409602363,0.32244159284799573
100.0,8.0,0.38,0.17,6.0,0.3529697911062217,0.7478172902163849,0.004172562267334017
1500.0,8.0,0.34,0.11,6.0,0.3576481840012359,0.7502698639785874,0.3403000075936646
700.0,20.0,0.34,0.13,10.0,0.3613623752072953,0.7522053293005286,0.1809538223243249
1300.0,32.0,0.3,0.01,10.0,0.3820667906513865,0.7598926095381838,0.529676764489465
500.0,8.0,0.34,0.03,10.0,0.3761154909037946,0.7583703743401458,0.17512006793017443
1900.0,32.0,0.34,0.01,4.0,0.3603819546493984,0.7517015158346334,0.4433032417654086
1500.0,4.0,0.14,0.15,4.0,0.3529697911062217,0.7478172902163849,0.27836779910681425
1500.0,12.0,0.34,0.05,6.0,0.3651727114396361,0.7541564114298499,0.3931573052244584
1300.0,32.0,0.38,0.05,8.0,0.36576383455855693,0.754459573902677,0.3818204527470609
1700.0,12.0,0.22,0.19,2.0,0.3529697911062217,0.7478172902163849,0.2612758375815781
900.0,32.0,0.1,0.05,2.0,0.3775993179719913,0.7592969515934355,0.17566666258789065
100.0,40.0,0.26,0.07,2.0,0.35414739607624834,0.7484559433762807,0.0023404135293435303
700.0,16.0,0.02,0.03,8.0,0.4469171171747544,0.7614831409602363,0.3225522197084364
1700.0,40.0,0.18,0.19,6.0,0.3529697911062217,0.7478172902163849,0.3273401525748283
1100.0,40.0,0.22,0.01,10.0,0.4011141124315175,0.7619123304182469,0.5042351294997858
1900.0,4.0,0.18,0.17,4.0,0.3529697911062217,0.7478172902163849,0.3426063532480406
1900.0,4.0,0.26,0.17,8.0,0.3529697911062217,0.7478172902163849,0.4268436567205171
900.0,32.0,0.18,0.11,6.0,0.3662347352432608,0.7536539729346784,0.21272193464159667
1500.0,20.0,0.38,0.01,4.0,0.3586242298329125,0.7507860620464442,0.33279238094689106
700.0,28.0,0.26,0.01,6.0,0.3767264142576888,0.7581362647920381,0.20913198736320815
100.0,16.0,0.34,0.17,4.0,0.3529697911062217,0.7478172902163849,0.0022241767047648346
300.0,32.0,0.22,0.03,2.0,0.3609546809149424,0.7518527455890387,0.044671852391347945
900.0,36.0,0.1,0.17,2.0,0.3529697911062217,0.7478172902163849,0.13369736036521562
1500.0,20.0,0.14,0.09,10.0,0.38403702122184014,0.7568031943376565,0.530398154356231
100.0,12.0,0.18,0.09,8.0,0.3773005873399636,0.7569161575484873,0.015616959249336544
1900.0,8.0,0.34,0.05,2.0,0.3529697911062217,0.7478172902163849,0.33646308288750054
1100.0,16.0,0.26,0.15,6.0,0.3529697911062217,0.7478172902163849,0.23073752147869253
1500.0,36.0,0.18,0.05,2.0,0.3625198871613616,0.7526509135737834,0.2877391721459196
500.0,32.0,0.18,0.13,10.0,0.3683949916512528,0.7544425481309945,0.13350664071374913
900.0,28.0,0.18,0.03,2.0,0.3644883352650943,0.7535374140553648,0.17276758385967017
1700.0,36.0,0.14,0.11,6.0,0.3663408232914993,0.7538787298421298,0.4174486386836663
300.0,40.0,0.26,0.07,2.0,0.3544163720559225,0.7485737047757071,0.040182318860886246
1700.0,8.0,0.34,0.07,10.0,0.3701503623675199,0.7555826273647175,0.5662832177323427
1900.0,4.0,0.34,0.11,8.0,0.3621413311241264,0.7526130038100374,0.4943488946371642
1700.0,40.0,0.14,0.07,8.0,0.3956649658563393,0.7606353427304446,0.5939317429835291
1500.0,36.0,0.22,0.03,10.0,0.3966319894404951,0.7613174647579075,0.6487087744232461
900.0,16.0,0.3,0.09,4.0,0.3565799289757768,0.749730479358494,0.17940706887490954
1500.0,24.0,0.18,0.01,4.0,0.3814177094058031,0.7589864498158767,0.4157614550408017
1100.0,12.0,0.14,0.01,4.0,0.3946076768785607,0.761621195525398,0.32030041530121967
700.0,4.0,0.14,0.01,2.0,0.36575023942398294,0.7541593066498926,0.13227719647710823
1900.0,24.0,0.38,0.09,8.0,0.3627229412199966,0.7529209902641221,0.5052603552283107
1900.0,32.0,0.26,0.13,8.0,0.36235425868714505,0.7519936619868455,0.494900059904444
1500.0,8.0,0.26,0.05,2.0,0.35560956223829904,0.7492268537575214,0.2740919160678203
1700.0,8.0,0.3,0.05,8.0,0.37212181726826576,0.7564318900681133,0.5475375805905492
1900.0,4.0,0.1,0.05,2.0,0.3723054899180307,0.7574643508817517,0.37414014403299156
900.0,24.0,0.02,0.01,2.0,0.4365647143742454,0.7610233996289295,0.23577822920340596
900.0,40.0,0.14,0.19,10.0,0.3529697911062217,0.7478172902163849,0.20070942262342178
900.0,4.0,0.18,0.03,10.0,0.3983884442800077,0.7620118203707806,0.37749780767919394
1100.0,12.0,0.26,0.19,8.0,0.3529697911062217,0.7478172902163849,0.22707052933250854
300.0,40.0,0.14,0.13,2.0,0.3529697911062217,0.7478172902163849,0.03604768347090252
1500.0,32.0,0.22,0.07,6.0,0.37358742248764265,0.7565949632080385,0.4128436475257362
1100.0,40.0,0.22,0.19,2.0,0.3529697911062217,0.7478172902163849,0.16304327661388374
900.0,36.0,0.06,0.13,2.0,0.3529697911062217,0.7478172902163849,0.1419940777576354
300.0,4.0,0.3,0.03,4.0,0.3628008775942578,0.7529308099220845,0.05586543079713577
700.0,12.0,0.34,0.15,10.0,0.3553920282534848,0.7490763558694861,0.16959603482276514
100.0,32.0,0.1,0.05,8.0,0.4190826554900368,0.7616852624140253,0.024789612794957255
