binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(13.42, 26.67]","(23331.443, 29975.86]","(0.23, 10.167]","(26.593, 39.82]","(16710.193, 23307.627]","(20.003, 29.99]","(26.64, 39.85]","(23267.913, 29884.81]","(0.0101, 10.017]",23694.0,4844.0
"(0.13, 13.42]","(16687.027, 23331.443]","(0.23, 10.167]","(13.367, 26.593]","(23307.627, 29905.06]","(20.003, 29.99]","(26.64, 39.85]","(23267.913, 29884.81]","(19.993, 29.97]",21877.0,4001.0
"(13.42, 26.67]","(16687.027, 23331.443]","(10.167, 20.073]","(0.1, 13.367]","(16710.193, 23307.627]","(10.017, 20.003]","(26.64, 39.85]","(23267.913, 29884.81]","(19.993, 29.97]",6798.0,1656.0
"(13.42, 26.67]","(16687.027, 23331.443]","(0.23, 10.167]","(26.593, 39.82]","(23307.627, 29905.06]","(4e-05, 10.017]","(13.43, 26.64]","(16651.017, 23267.913]","(0.0101, 10.017]",25121.0,5627.0
"(26.67, 39.92]","(23331.443, 29975.86]","(0.23, 10.167]","(0.1, 13.367]","(16710.193, 23307.627]","(4e-05, 10.017]","(0.18, 13.43]","(16651.017, 23267.913]","(10.017, 19.993]",23086.0,5152.0
"(0.13, 13.42]","(10022.677, 16687.027]","(20.073, 29.98]","(13.367, 26.593]","(10092.968, 16710.193]","(10.017, 20.003]","(13.43, 26.64]","(10014.269, 16651.017]","(19.993, 29.97]",1843.0,310.0
"(0.13, 13.42]","(16687.027, 23331.443]","(20.073, 29.98]","(26.593, 39.82]","(23307.627, 29905.06]","(20.003, 29.99]","(13.43, 26.64]","(23267.913, 29884.81]","(0.0101, 10.017]",20303.0,3693.0
"(26.67, 39.92]","(10022.677, 16687.027]","(0.23, 10.167]","(13.367, 26.593]","(10092.968, 16710.193]","(20.003, 29.99]","(0.18, 13.43]","(10014.269, 16651.017]","(0.0101, 10.017]",7494.0,1410.0
"(26.67, 39.92]","(23331.443, 29975.86]","(0.23, 10.167]","(13.367, 26.593]","(10092.968, 16710.193]","(20.003, 29.99]","(0.18, 13.43]","(23267.913, 29884.81]","(10.017, 19.993]",3214.0,643.0
"(0.13, 13.42]","(10022.677, 16687.027]","(10.167, 20.073]","(0.1, 13.367]","(23307.627, 29905.06]","(20.003, 29.99]","(13.43, 26.64]","(23267.913, 29884.81]","(10.017, 19.993]",0.0,3.0
