binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(16.07, 24.02]","(22002.56, 25989.21]","(6.204, 12.148]","(23.948, 31.884]","(18029.68, 21988.14]","(23.998, 29.99]","(31.924, 39.85]","(25914.672, 29884.81]","(0.0101, 6.026]",23694.0,4844.0
"(0.13, 8.12]","(14029.26, 18015.91]","(6.204, 12.148]","(16.012, 23.948]","(21988.14, 25946.6]","(18.006, 23.998]","(31.924, 39.85]","(25914.672, 29884.81]","(23.984, 29.97]",21877.0,4001.0
"(16.07, 24.02]","(22002.56, 25989.21]","(6.204, 12.148]","(0.1, 8.076]","(21988.14, 25946.6]","(6.022, 12.014]","(23.998, 31.924]","(21944.534, 25914.672]","(23.984, 29.97]",6798.0,1656.0
"(16.07, 24.02]","(18015.91, 22002.56]","(6.204, 12.148]","(23.948, 31.884]","(21988.14, 25946.6]","(4e-05, 6.022]","(16.072, 23.998]","(21944.534, 25914.672]","(6.026, 12.012]",25121.0,5627.0
"(31.97, 39.92]","(22002.56, 25989.21]","(6.204, 12.148]","(0.1, 8.076]","(21988.14, 25946.6]","(4e-05, 6.022]","(8.146, 16.072]","(17974.396, 21944.534]","(12.012, 17.998]",23086.0,5152.0
"(0.13, 8.12]","(10022.677, 14029.26]","(24.036, 29.98]","(23.948, 31.884]","(10092.968, 14071.22]","(12.014, 18.006]","(16.072, 23.998]","(14004.258, 17974.396]","(17.998, 23.984]",1843.0,310.0
"(8.12, 16.07]","(18015.91, 22002.56]","(24.036, 29.98]","(23.948, 31.884]","(21988.14, 25946.6]","(23.998, 29.99]","(16.072, 23.998]","(21944.534, 25914.672]","(6.026, 12.012]",20303.0,3693.0
"(31.97, 39.92]","(10022.677, 14029.26]","(0.23, 6.204]","(16.012, 23.948]","(10092.968, 14071.22]","(18.006, 23.998]","(0.18, 8.146]","(10014.269, 14004.258]","(0.0101, 6.026]",7494.0,1410.0
"(31.97, 39.92]","(25989.21, 29975.86]","(0.23, 6.204]","(16.012, 23.948]","(10092.968, 14071.22]","(23.998, 29.99]","(0.18, 8.146]","(25914.672, 29884.81]","(12.012, 17.998]",3214.0,643.0
"(8.12, 16.07]","(14029.26, 18015.91]","(18.092, 24.036]","(8.076, 16.012]","(25946.6, 29905.06]","(23.998, 29.99]","(16.072, 23.998]","(25914.672, 29884.81]","(17.998, 23.984]",0.0,3.0
"(16.07, 24.02]","(14029.26, 18015.91]","(18.092, 24.036]","(0.1, 8.076]","(25946.6, 29905.06]","(23.998, 29.99]","(8.146, 16.072]","(14004.258, 17974.396]","(12.012, 17.998]",70.0,33.0
"(24.02, 31.97]","(14029.26, 18015.91]","(18.092, 24.036]","(8.076, 16.012]","(10092.968, 14071.22]","(6.022, 12.014]","(0.18, 8.146]","(21944.534, 25914.672]","(6.026, 12.012]",6209.0,1023.0
"(8.12, 16.07]","(22002.56, 25989.21]","(0.23, 6.204]","(0.1, 8.076]","(10092.968, 14071.22]","(4e-05, 6.022]","(16.072, 23.998]","(14004.258, 17974.396]","(6.026, 12.012]",3795.0,679.0
"(24.02, 31.97]","(14029.26, 18015.91]","(18.092, 24.036]","(0.1, 8.076]","(10092.968, 14071.22]","(12.014, 18.006]","(0.18, 8.146]","(21944.534, 25914.672]","(0.0101, 6.026]",911.0,314.0
"(8.12, 16.07]","(14029.26, 18015.91]","(0.23, 6.204]","(31.884, 39.82]","(18029.68, 21988.14]","(6.022, 12.014]","(16.072, 23.998]","(10014.269, 14004.258]","(6.026, 12.012]",17005.0,4104.0
"(16.07, 24.02]","(22002.56, 25989.21]","(18.092, 24.036]","(31.884, 39.82]","(14071.22, 18029.68]","(18.006, 23.998]","(31.924, 39.85]","(14004.258, 17974.396]","(12.012, 17.998]",14635.0,2909.0
"(0.13, 8.12]","(22002.56, 25989.21]","(0.23, 6.204]","(31.884, 39.82]","(25946.6, 29905.06]","(6.022, 12.014]","(8.146, 16.072]","(21944.534, 25914.672]","(23.984, 29.97]",25951.0,6054.0
"(31.97, 39.92]","(22002.56, 25989.21]","(18.092, 24.036]","(0.1, 8.076]","(25946.6, 29905.06]","(12.014, 18.006]","(8.146, 16.072]","(10014.269, 14004.258]","(12.012, 17.998]",1554.0,557.0
"(8.12, 16.07]","(22002.56, 25989.21]","(0.23, 6.204]","(23.948, 31.884]","(14071.22, 18029.68]","(18.006, 23.998]","(16.072, 23.998]","(25914.672, 29884.81]","(0.0101, 6.026]",14356.0,2528.0
"(0.13, 8.12]","(14029.26, 18015.91]","(24.036, 29.98]","(23.948, 31.884]","(18029.68, 21988.14]","(18.006, 23.998]","(0.18, 8.146]","(14004.258, 17974.396]","(0.0101, 6.026]",13152.0,2776.0
"(16.07, 24.02]","(18015.91, 22002.56]","(18.092, 24.036]","(31.884, 39.82]","(25946.6, 29905.06]","(18.006, 23.998]","(31.924, 39.85]","(14004.258, 17974.396]","(12.012, 17.998]",23250.0,5768.0
"(8.12, 16.07]","(10022.677, 14029.26]","(12.148, 18.092]","(31.884, 39.82]","(10092.968, 14071.22]","(4e-05, 6.022]","(8.146, 16.072]","(25914.672, 29884.81]","(12.012, 17.998]",8368.0,1367.0
"(31.97, 39.92]","(25989.21, 29975.86]","(18.092, 24.036]","(8.076, 16.012]","(18029.68, 21988.14]","(23.998, 29.99]","(8.146, 16.072]","(25914.672, 29884.81]","(17.998, 23.984]",94.0,77.0
"(16.07, 24.02]","(14029.26, 18015.91]","(0.23, 6.204]","(23.948, 31.884]","(14071.22, 18029.68]","(4e-05, 6.022]","(16.072, 23.998]","(21944.534, 25914.672]","(23.984, 29.97]",15465.0,2775.0
"(0.13, 8.12]","(22002.56, 25989.21]","(6.204, 12.148]","(31.884, 39.82]","(10092.968, 14071.22]","(6.022, 12.014]","(31.924, 39.85]","(25914.672, 29884.81]","(17.998, 23.984]",5382.0,821.0
"(31.97, 39.92]","(10022.677, 14029.26]","(24.036, 29.98]","(0.1, 8.076]","(18029.68, 21988.14]","(23.998, 29.99]","(31.924, 39.85]","(10014.269, 14004.258]","(17.998, 23.984]",230.0,86.0
"(24.02, 31.97]","(25989.21, 29975.86]","(12.148, 18.092]","(8.076, 16.012]","(14071.22, 18029.68]","(12.014, 18.006]","(8.146, 16.072]","(14004.258, 17974.396]","(17.998, 23.984]",14126.0,2746.0
"(31.97, 39.92]","(18015.91, 22002.56]","(6.204, 12.148]","(8.076, 16.012]","(21988.14, 25946.6]","(18.006, 23.998]","(31.924, 39.85]","(25914.672, 29884.81]","(6.026, 12.012]",25551.0,5520.0
"(0.13, 8.12]","(14029.26, 18015.91]","(0.23, 6.204]","(23.948, 31.884]","(10092.968, 14071.22]","(23.998, 29.99]","(23.998, 31.924]","(10014.269, 14004.258]","(0.0101, 6.026]",1904.0,373.0
"(24.02, 31.97]","(18015.91, 22002.56]","(12.148, 18.092]","(23.948, 31.884]","(25946.6, 29905.06]","(18.006, 23.998]","(31.924, 39.85]","(17974.396, 21944.534]","(12.012, 17.998]",25155.0,5949.0
"(16.07, 24.02]","(25989.21, 29975.86]","(6.204, 12.148]","(16.012, 23.948]","(25946.6, 29905.06]","(23.998, 29.99]","(0.18, 8.146]","(17974.396, 21944.534]","(12.012, 17.998]",24961.0,5833.0
"(0.13, 8.12]","(18015.91, 22002.56]","(0.23, 6.204]","(8.076, 16.012]","(25946.6, 29905.06]","(6.022, 12.014]","(8.146, 16.072]","(17974.396, 21944.534]","(12.012, 17.998]",20010.0,3753.0
"(16.07, 24.02]","(14029.26, 18015.91]","(0.23, 6.204]","(23.948, 31.884]","(10092.968, 14071.22]","(6.022, 12.014]","(16.072, 23.998]","(21944.534, 25914.672]","(6.026, 12.012]",9031.0,1527.0
"(24.02, 31.97]","(18015.91, 22002.56]","(24.036, 29.98]","(0.1, 8.076]","(18029.68, 21988.14]","(4e-05, 6.022]","(0.18, 8.146]","(10014.269, 14004.258]","(0.0101, 6.026]",15581.0,3451.0
