binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(18.577, 21.289]","(23463.097, 24476.601]","(7.036, 8.392]","(30.233, 32.55]","(20190.939, 21463.893]","(28.507, 29.99]","(35.317, 37.694]","(26704.823, 28033.627]","(2.011, 4.387]",23694.0,4844.0
"(2.837, 5.921]","(16882.707, 18069.604]","(4.545, 7.036]","(17.672, 20.666]","(24050.817, 25157.736]","(19.152, 21.817]","(35.317, 37.694]","(28033.627, 29884.81]","(26.361, 28.934]",21877.0,4001.0
"(21.289, 24.014]","(21089.141, 22544.526]","(10.233, 12.32]","(0.139, 2.189]","(21463.893, 22466.49]","(10.287, 11.406]","(26.787, 31.491]","(24799.711, 26000.772]","(24.282, 26.361]",6798.0,1656.0
"(14.653, 16.26]","(19438.649, 21089.141]","(4.545, 7.036]","(27.27, 30.233]","(25157.736, 26059.108]","(3.229, 4.822]","(18.976, 21.551]","(21919.814, 22767.66]","(4.387, 6.5]",25121.0,5627.0
"(35.135, 37.391]","(24476.601, 26307.966]","(8.392, 10.233]","(5.133, 7.396]","(22466.49, 24050.817]","(1.076, 3.229]","(8.736, 11.537]","(18066.412, 19435.745]","(14.569, 16.494]",23086.0,5152.0
"(0.169, 2.837]","(11325.855, 12669.435]","(24.714, 26.307]","(22.998, 24.99]","(10112.759, 11191.645]","(13.765, 16.104]","(14.793, 16.724]","(15465.835, 16727.36]","(20.007, 22.001]",1843.0,310.0
"(9.756, 12.485]","(18069.604, 19438.649]","(24.714, 26.307]","(27.27, 30.233]","(24050.817, 25157.736]","(28.507, 29.99]","(21.551, 24.384]","(24799.711, 26000.772]","(6.5, 8.437]",20303.0,3693.0
"(37.391, 39.92]","(10042.609, 11325.855]","(1.945, 4.545]","(17.672, 20.666]","(12634.186, 14434.652]","(21.817, 23.729]","(5.299, 8.736]","(12100.293, 13873.478]","(4.387, 6.5]",7494.0,1410.0
"(32.782, 35.135]","(27819.16, 28775.345]","(0.259, 1.945]","(22.998, 24.99]","(10112.759, 11191.645]","(28.507, 29.99]","(2.547, 5.299]","(26704.823, 28033.627]","(16.494, 18.14]",3214.0,643.0
"(9.756, 12.485]","(15613.892, 16882.707]","(18.838, 20.903]","(9.55, 13.9]","(27189.542, 28457.148]","(28.507, 29.99]","(16.724, 18.976]","(28033.627, 29884.81]","(18.14, 20.007]",0.0,3.0
"(16.26, 18.577]","(16882.707, 18069.604]","(18.838, 20.903]","(0.139, 2.189]","(28457.148, 29905.06]","(25.25, 26.663]","(14.793, 16.724]","(15465.835, 16727.36]","(14.569, 16.494]",70.0,33.0
"(24.014, 26.81]","(15613.892, 16882.707]","(20.903, 23.224]","(13.9, 17.672]","(11191.645, 12634.186]","(10.287, 11.406]","(5.299, 8.736]","(21919.814, 22767.66]","(6.5, 8.437]",6209.0,1023.0
"(12.485, 14.653]","(24476.601, 26307.966]","(4.545, 7.036]","(0.139, 2.189]","(10112.759, 11191.645]","(4.822, 7.706]","(16.724, 18.976]","(15465.835, 16727.36]","(6.5, 8.437]",3795.0,679.0
"(24.014, 26.81]","(15613.892, 16882.707]","(20.903, 23.224]","(0.139, 2.189]","(12634.186, 14434.652]","(13.765, 16.104]","(0.219, 2.547]","(24799.711, 26000.772]","(4.387, 6.5]",911.0,314.0
"(12.485, 14.653]","(14386.418, 15613.892]","(4.545, 7.036]","(37.457, 39.82]","(20190.939, 21463.893]","(4.822, 7.706]","(18.976, 21.551]","(10703.651, 12100.293]","(10.393, 11.832]",17005.0,4104.0
"(18.577, 21.289]","(22544.526, 23463.097]","(16.774, 18.838]","(34.445, 37.457]","(15520.049, 17430.663]","(16.104, 19.152]","(33.278, 35.317]","(13873.478, 15465.835]","(14.569, 16.494]",14635.0,2909.0
"(5.921, 9.756]","(22544.526, 23463.097]","(0.259, 1.945]","(34.445, 37.457]","(28457.148, 29905.06]","(7.706, 10.287]","(11.537, 14.793]","(21919.814, 22767.66]","(26.361, 28.934]",25951.0,6054.0
"(37.391, 39.92]","(21089.141, 22544.526]","(16.774, 18.838]","(5.133, 7.396]","(26059.108, 27189.542]","(16.104, 19.152]","(11.537, 14.793]","(12100.293, 13873.478]","(16.494, 18.14]",1554.0,557.0
"(9.756, 12.485]","(23463.097, 24476.601]","(4.545, 7.036]","(27.27, 30.233]","(14434.652, 15520.049]","(21.817, 23.729]","(18.976, 21.551]","(24799.711, 26000.772]","(0.039, 2.011]",14356.0,2528.0
"(2.837, 5.921]","(14386.418, 15613.892]","(23.224, 24.714]","(27.27, 30.233]","(21463.893, 22466.49]","(16.104, 19.152]","(0.219, 2.547]","(15465.835, 16727.36]","(2.011, 4.387]",13152.0,2776.0
"(16.26, 18.577]","(21089.141, 22544.526]","(16.774, 18.838]","(34.445, 37.457]","(28457.148, 29905.06]","(19.152, 21.817]","(33.278, 35.317]","(13873.478, 15465.835]","(14.569, 16.494]",23250.0,5768.0
"(14.653, 16.26]","(10042.609, 11325.855]","(12.32, 14.127]","(32.55, 34.445]","(11191.645, 12634.186]","(3.229, 4.822]","(11.537, 14.793]","(26000.772, 26704.823]","(11.832, 14.569]",8368.0,1367.0
"(37.391, 39.92]","(28775.345, 29975.86]","(18.838, 20.903]","(7.396, 9.55]","(21463.893, 22466.49]","(26.663, 28.507]","(8.736, 11.537]","(26000.772, 26704.823]","(20.007, 22.001]",94.0,77.0
"(24.014, 26.81]","(16882.707, 18069.604]","(0.259, 1.945]","(22.998, 24.99]","(15520.049, 17430.663]","(0.028999999999999998, 1.076]","(21.551, 24.384]","(24799.711, 26000.772]","(26.361, 28.934]",15465.0,2775.0
"(0.169, 2.837]","(22544.526, 23463.097]","(8.392, 10.233]","(34.445, 37.457]","(12634.186, 14434.652]","(10.287, 11.406]","(33.278, 35.317]","(28033.627, 29884.81]","(18.14, 20.007]",5382.0,821.0
"(37.391, 39.92]","(11325.855, 12669.435]","(24.714, 26.307]","(0.139, 2.189]","(21463.893, 22466.49]","(23.729, 25.25]","(37.694, 39.85]","(10034.119, 10703.651]","(18.14, 20.007]",230.0,86.0
"(24.014, 26.81]","(27819.16, 28775.345]","(12.32, 14.127]","(9.55, 13.9]","(15520.049, 17430.663]","(11.406, 13.765]","(11.537, 14.793]","(15465.835, 16727.36]","(18.14, 20.007]",14126.0,2746.0
"(32.782, 35.135]","(18069.604, 19438.649]","(4.545, 7.036]","(13.9, 17.672]","(22466.49, 24050.817]","(19.152, 21.817]","(35.317, 37.694]","(26704.823, 28033.627]","(8.437, 10.393]",25551.0,5520.0
"(0.169, 2.837]","(12669.435, 14386.418]","(4.545, 7.036]","(24.99, 27.27]","(11191.645, 12634.186]","(25.25, 26.663]","(24.384, 26.787]","(10034.119, 10703.651]","(2.011, 4.387]",1904.0,373.0
"(24.014, 26.81]","(19438.649, 21089.141]","(14.127, 16.774]","(27.27, 30.233]","(28457.148, 29905.06]","(19.152, 21.817]","(31.491, 33.278]","(19435.745, 20781.743]","(14.569, 16.494]",25155.0,5949.0
"(18.577, 21.289]","(27819.16, 28775.345]","(10.233, 12.32]","(17.672, 20.666]","(27189.542, 28457.148]","(23.729, 25.25]","(5.299, 8.736]","(18066.412, 19435.745]","(11.832, 14.569]",24961.0,5833.0
"(2.837, 5.921]","(19438.649, 21089.141]","(4.545, 7.036]","(9.55, 13.9]","(26059.108, 27189.542]","(4.822, 7.706]","(8.736, 11.537]","(19435.745, 20781.743]","(14.569, 16.494]",20010.0,3753.0
"(21.289, 24.014]","(15613.892, 16882.707]","(1.945, 4.545]","(30.233, 32.55]","(12634.186, 14434.652]","(10.287, 11.406]","(16.724, 18.976]","(21919.814, 22767.66]","(10.393, 11.832]",9031.0,1527.0
"(24.014, 26.81]","(18069.604, 19438.649]","(28.162, 29.98]","(5.133, 7.396]","(17430.663, 19080.122]","(0.028999999999999998, 1.076]","(2.547, 5.299]","(12100.293, 13873.478]","(0.039, 2.011]",15581.0,3451.0
"(21.289, 24.014]","(26307.966, 27819.16]","(12.32, 14.127]","(20.666, 22.998]","(20190.939, 21463.893]","(21.817, 23.729]","(16.724, 18.976]","(21919.814, 22767.66]","(18.14, 20.007]",22666.0,4739.0
"(16.26, 18.577]","(23463.097, 24476.601]","(28.162, 29.98]","(30.233, 32.55]","(27189.542, 28457.148]","(11.406, 13.765]","(24.384, 26.787]","(24799.711, 26000.772]","(18.14, 20.007]",26355.0,6021.0
"(2.837, 5.921]","(10042.609, 11325.855]","(24.714, 26.307]","(27.27, 30.233]","(22466.49, 24050.817]","(10.287, 11.406]","(5.299, 8.736]","(28033.627, 29884.81]","(22.001, 24.282]",13453.0,3044.0
"(30.034, 32.782]","(16882.707, 18069.604]","(1.945, 4.545]","(7.396, 9.55]","(24050.817, 25157.736]","(23.729, 25.25]","(14.793, 16.724]","(26000.772, 26704.823]","(4.387, 6.5]",1180.0,283.0
"(24.014, 26.81]","(24476.601, 26307.966]","(18.838, 20.903]","(13.9, 17.672]","(24050.817, 25157.736]","(13.765, 16.104]","(35.317, 37.694]","(20781.743, 21919.814]","(24.282, 26.361]",24874.0,5581.0
"(14.653, 16.26]","(11325.855, 12669.435]","(8.392, 10.233]","(20.666, 22.998]","(27189.542, 28457.148]","(19.152, 21.817]","(16.724, 18.976]","(26704.823, 28033.627]","(10.393, 11.832]",26644.0,5896.0
"(16.26, 18.577]","(10042.609, 11325.855]","(7.036, 8.392]","(32.55, 34.445]","(20190.939, 21463.893]","(7.706, 10.287]","(0.219, 2.547]","(24799.711, 26000.772]","(28.934, 29.97]",13481.0,3505.0
"(18.577, 21.289]","(21089.141, 22544.526]","(1.945, 4.545]","(37.457, 39.82]","(28457.148, 29905.06]","(25.25, 26.663]","(33.278, 35.317]","(19435.745, 20781.743]","(0.039, 2.011]",25354.0,5965.0
"(21.289, 24.014]","(11325.855, 12669.435]","(12.32, 14.127]","(13.9, 17.672]","(28457.148, 29905.06]","(23.729, 25.25]","(33.278, 35.317]","(10034.119, 10703.651]","(10.393, 11.832]",17132.0,4024.0
"(37.391, 39.92]","(28775.345, 29975.86]","(8.392, 10.233]","(24.99, 27.27]","(15520.049, 17430.663]","(7.706, 10.287]","(8.736, 11.537]","(28033.627, 29884.81]","(22.001, 24.282]",13288.0,2885.0
"(2.837, 5.921]","(19438.649, 21089.141]","(0.259, 1.945]","(9.55, 13.9]","(10112.759, 11191.645]","(26.663, 28.507]","(11.537, 14.793]","(26000.772, 26704.823]","(28.934, 29.97]",0.0,14.0
"(12.485, 14.653]","(16882.707, 18069.604]","(23.224, 24.714]","(27.27, 30.233]","(12634.186, 14434.652]","(28.507, 29.99]","(8.736, 11.537]","(26704.823, 28033.627]","(4.387, 6.5]",12920.0,2207.0
"(37.391, 39.92]","(14386.418, 15613.892]","(14.127, 16.774]","(32.55, 34.445]","(15520.049, 17430.663]","(10.287, 11.406]","(0.219, 2.547]","(10034.119, 10703.651]","(24.282, 26.361]",6956.0,1770.0
"(0.169, 2.837]","(26307.966, 27819.16]","(18.838, 20.903]","(13.9, 17.672]","(24050.817, 25157.736]","(1.076, 3.229]","(24.384, 26.787]","(26000.772, 26704.823]","(14.569, 16.494]",21616.0,4027.0
"(2.837, 5.921]","(26307.966, 27819.16]","(14.127, 16.774]","(0.139, 2.189]","(12634.186, 14434.652]","(11.406, 13.765]","(8.736, 11.537]","(12100.293, 13873.478]","(14.569, 16.494]",84.0,20.0
"(14.653, 16.26]","(12669.435, 14386.418]","(20.903, 23.224]","(2.189, 5.133]","(10112.759, 11191.645]","(28.507, 29.99]","(18.976, 21.551]","(13873.478, 15465.835]","(10.393, 11.832]",34.0,15.0
"(12.485, 14.653]","(18069.604, 19438.649]","(20.903, 23.224]","(24.99, 27.27]","(19080.122, 20190.939]","(28.507, 29.99]","(35.317, 37.694]","(20781.743, 21919.814]","(6.5, 8.437]",20764.0,4201.0
"(18.577, 21.289]","(22544.526, 23463.097]","(20.903, 23.224]","(30.233, 32.55]","(15520.049, 17430.663]","(0.028999999999999998, 1.076]","(31.491, 33.278]","(15465.835, 16727.36]","(16.494, 18.14]",13403.0,2599.0
