binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(16.07, 20.045]","(23995.885, 25989.21]","(6.204, 9.176]","(27.916, 31.884]","(20008.91, 21988.14]","(26.994, 29.99]","(31.924, 35.887]","(27899.741, 29884.81]","(3.033, 6.026]",23694.0,4844.0
"(0.13, 4.145]","(16022.585, 18015.91]","(6.204, 9.176]","(16.012, 19.98]","(23967.37, 25946.6]","(21.002, 23.998]","(35.887, 39.85]","(27899.741, 29884.81]","(26.977, 29.97]",21877.0,4001.0
"(20.045, 24.02]","(22002.56, 23995.885]","(9.176, 12.148]","(0.1, 4.108]","(21988.14, 23967.37]","(9.018, 12.014]","(23.998, 27.961]","(23929.603, 25914.672]","(23.984, 26.977]",6798.0,1656.0
"(16.07, 20.045]","(20009.235, 22002.56]","(6.204, 9.176]","(27.916, 31.884]","(23967.37, 25946.6]","(3.026, 6.022]","(20.035, 23.998]","(21944.534, 23929.603]","(6.026, 9.019]",25121.0,5627.0
"(31.97, 35.945]","(23995.885, 25989.21]","(9.176, 12.148]","(4.108, 8.076]","(21988.14, 23967.37]","(4e-05, 3.026]","(8.146, 12.109]","(17974.396, 19959.465]","(15.005, 17.998]",23086.0,5152.0
"(0.13, 4.145]","(10022.677, 12035.935]","(24.036, 27.008]","(23.948, 27.916]","(10092.968, 12091.99]","(15.01, 18.006]","(16.072, 20.035]","(15989.327, 17974.396]","(20.991, 23.984]",1843.0,310.0
"(8.12, 12.095]","(18015.91, 20009.235]","(24.036, 27.008]","(27.916, 31.884]","(23967.37, 25946.6]","(26.994, 29.99]","(20.035, 23.998]","(23929.603, 25914.672]","(6.026, 9.019]",20303.0,3693.0
"(35.945, 39.92]","(10022.677, 12035.935]","(0.23, 3.232]","(16.012, 19.98]","(12091.99, 14071.22]","(21.002, 23.998]","(4.183, 8.146]","(12019.189, 14004.258]","(3.033, 6.026]",7494.0,1410.0
"(31.97, 35.945]","(27982.535, 29975.86]","(0.23, 3.232]","(19.98, 23.948]","(10092.968, 12091.99]","(26.994, 29.99]","(4.183, 8.146]","(25914.672, 27899.741]","(15.005, 17.998]",3214.0,643.0
"(8.12, 12.095]","(14029.26, 16022.585]","(18.092, 21.064]","(12.044, 16.012]","(27925.83, 29905.06]","(26.994, 29.99]","(16.072, 20.035]","(27899.741, 29884.81]","(17.998, 20.991]",0.0,3.0
"(16.07, 20.045]","(16022.585, 18015.91]","(18.092, 21.064]","(0.1, 4.108]","(27925.83, 29905.06]","(23.998, 26.994]","(12.109, 16.072]","(14004.258, 15989.327]","(15.005, 17.998]",70.0,33.0
