binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(14.653, 26.81]","(23463.097, 29975.86]","(0.259, 10.233]","(27.27, 39.82]","(17430.663, 24050.817]","(21.817, 29.99]","(26.787, 39.85]","(22767.66, 29884.81]","(0.039, 10.393]",23694.0,4844.0
"(0.169, 14.653]","(16882.707, 23463.097]","(0.259, 10.233]","(13.9, 27.27]","(24050.817, 29905.06]","(10.287, 21.817]","(26.787, 39.85]","(22767.66, 29884.81]","(20.007, 29.97]",21877.0,4001.0
"(14.653, 26.81]","(16882.707, 23463.097]","(10.233, 20.903]","(0.139, 13.9]","(17430.663, 24050.817]","(10.287, 21.817]","(26.787, 39.85]","(22767.66, 29884.81]","(20.007, 29.97]",6798.0,1656.0
"(14.653, 26.81]","(16882.707, 23463.097]","(0.259, 10.233]","(27.27, 39.82]","(24050.817, 29905.06]","(0.028999999999999998, 10.287]","(14.793, 26.787]","(16727.36, 22767.66]","(0.039, 10.393]",25121.0,5627.0
"(26.81, 39.92]","(23463.097, 29975.86]","(0.259, 10.233]","(0.139, 13.9]","(17430.663, 24050.817]","(0.028999999999999998, 10.287]","(0.219, 14.793]","(16727.36, 22767.66]","(10.393, 20.007]",23086.0,5152.0
"(0.169, 14.653]","(10042.609, 16882.707]","(20.903, 29.98]","(13.9, 27.27]","(10112.759, 17430.663]","(10.287, 21.817]","(14.793, 26.787]","(10034.119, 16727.36]","(20.007, 29.97]",1843.0,310.0
"(0.169, 14.653]","(16882.707, 23463.097]","(20.903, 29.98]","(27.27, 39.82]","(24050.817, 29905.06]","(21.817, 29.99]","(14.793, 26.787]","(22767.66, 29884.81]","(0.039, 10.393]",20303.0,3693.0
"(26.81, 39.92]","(10042.609, 16882.707]","(0.259, 10.233]","(13.9, 27.27]","(10112.759, 17430.663]","(21.817, 29.99]","(0.219, 14.793]","(10034.119, 16727.36]","(0.039, 10.393]",7494.0,1410.0
"(26.81, 39.92]","(23463.097, 29975.86]","(0.259, 10.233]","(13.9, 27.27]","(10112.759, 17430.663]","(21.817, 29.99]","(0.219, 14.793]","(22767.66, 29884.81]","(10.393, 20.007]",3214.0,643.0
"(0.169, 14.653]","(10042.609, 16882.707]","(10.233, 20.903]","(0.139, 13.9]","(24050.817, 29905.06]","(21.817, 29.99]","(14.793, 26.787]","(22767.66, 29884.81]","(10.393, 20.007]",0.0,3.0
