binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(18.058, 20.045]","(23995.885, 24992.548]","(6.204, 7.69]","(29.9, 31.884]","(20008.91, 20998.525]","(28.492, 29.99]","(33.906, 35.887]","(27899.741, 28892.276]","(3.033, 4.53]",23694.0,4844.0
"(2.158, 4.145]","(17019.248, 18015.91]","(6.204, 7.69]","(16.012, 17.996]","(23967.37, 24956.985]","(21.002, 22.5]","(35.887, 37.868]","(28892.276, 29884.81]","(26.977, 28.473]",21877.0,4001.0
"(22.033, 24.02]","(22002.56, 22999.223]","(10.662, 12.148]","(0.1, 2.124]","(21988.14, 22977.755]","(10.516, 12.014]","(25.979, 27.961]","(23929.603, 24922.138]","(23.984, 25.48]",6798.0,1656.0
"(16.07, 18.058]","(20009.235, 21005.898]","(6.204, 7.69]","(29.9, 31.884]","(24956.985, 25946.6]","(4.524, 6.022]","(20.035, 22.016]","(21944.534, 22937.068]","(6.026, 7.522]",25121.0,5627.0
"(33.958, 35.945]","(23995.885, 24992.548]","(9.176, 10.662]","(6.092, 8.076]","(22977.755, 23967.37]","(4e-05, 1.528]","(8.146, 10.128]","(17974.396, 18966.931]","(15.005, 16.502]",23086.0,5152.0
"(0.13, 2.158]","(11039.273, 12035.935]","(24.036, 25.522]","(23.948, 25.932]","(10092.968, 11102.375]","(15.01, 16.508]","(16.072, 18.054]","(15989.327, 16981.862]","(20.991, 22.487]",1843.0,310.0
"(8.12, 10.108]","(18015.91, 19012.573]","(24.036, 25.522]","(27.916, 29.9]","(23967.37, 24956.985]","(28.492, 29.99]","(22.016, 23.998]","(24922.138, 25914.672]","(7.522, 9.019]",20303.0,3693.0
"(37.933, 39.92]","(10022.677, 11039.273]","(1.746, 3.232]","(17.996, 19.98]","(13081.605, 14071.22]","(22.5, 23.998]","(6.164, 8.146]","(13011.724, 14004.258]","(3.033, 4.53]",7494.0,1410.0
"(33.958, 35.945]","(27982.535, 28979.198]","(1.746, 3.232]","(21.964, 23.948]","(10092.968, 11102.375]","(28.492, 29.99]","(4.183, 6.164]","(26907.206, 27899.741]","(16.502, 17.998]",3214.0,643.0
"(10.108, 12.095]","(15025.922, 16022.585]","(18.092, 19.578]","(12.044, 14.028]","(27925.83, 28915.445]","(28.492, 29.99]","(16.072, 18.054]","(27899.741, 28892.276]","(17.998, 19.494]",0.0,3.0
