binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(2.82, 5.47]","(27318.093, 28646.977]","(26.017, 27.999]","(18.657, 21.303]","(20668.653, 21988.14]","(2.027, 4.025]","(34.566, 37.208]","(23267.913, 24591.293]","(2.035, 4.031]",17696.0,3159.0
"(24.02, 26.67]","(19344.793, 20673.677]","(6.204, 8.185]","(23.948, 26.593]","(11432.247, 12751.733]","(4e-05, 2.027]","(23.998, 26.64]","(10014.269, 11357.499]","(8.021, 10.017]",4347.0,886.0
"(29.32, 31.97]","(27318.093, 28646.977]","(12.148, 14.129]","(5.431, 8.076]","(21988.14, 23307.627]","(4.025, 6.022]","(23.998, 26.64]","(21944.534, 23267.913]","(23.984, 25.979]",24183.0,5252.0
"(13.42, 16.07]","(20673.677, 22002.56]","(8.185, 10.167]","(10.721, 13.367]","(27266.087, 28585.573]","(14.011, 16.009]","(21.356, 23.998]","(27238.051, 28561.431]","(4.031, 6.026]",27015.0,6069.0
"(13.42, 16.07]","(18015.91, 19344.793]","(6.204, 8.185]","(16.012, 18.657]","(10092.968, 11432.247]","(20.003, 22.001]","(26.64, 29.282]","(10014.269, 11357.499]","(19.993, 21.989]",3021.0,611.0
"(29.32, 31.97]","(10022.677, 11371.493]","(24.036, 26.017]","(5.431, 8.076]","(27266.087, 28585.573]","(23.998, 25.995]","(23.998, 26.64]","(19297.775, 20621.155]","(23.984, 25.979]",482.0,130.0
"(13.42, 16.07]","(12700.377, 14029.26]","(10.167, 12.148]","(23.948, 26.593]","(18029.68, 19349.167]","(16.009, 18.006]","(18.714, 21.356]","(16651.017, 17974.396]","(19.993, 21.989]",18654.0,3839.0
"(10.77, 13.42]","(28646.977, 29975.86]","(27.999, 29.98]","(37.175, 39.82]","(24627.113, 25946.6]","(27.993, 29.99]","(37.208, 39.85]","(14004.258, 15327.637]","(23.984, 25.979]",17968.0,3632.0
"(26.67, 29.32]","(10022.677, 11371.493]","(16.111, 18.092]","(18.657, 21.303]","(10092.968, 11432.247]","(4.025, 6.022]","(5.504, 8.146]","(24591.293, 25914.672]","(16.003, 17.998]",2781.0,538.0
"(24.02, 26.67]","(10022.677, 11371.493]","(0.23, 2.241]","(34.529, 37.175]","(19349.167, 20668.653]","(22.001, 23.998]","(2.862, 5.504]","(24591.293, 25914.672]","(25.979, 27.975]",12834.0,3235.0
"(21.37, 24.02]","(23331.443, 24660.327]","(26.017, 27.999]","(37.175, 39.82]","(20668.653, 21988.14]","(2.027, 4.025]","(34.566, 37.208]","(14004.258, 15327.637]","(19.993, 21.989]",19936.0,4567.0
"(34.62, 37.27]","(23331.443, 24660.327]","(2.241, 4.223]","(23.948, 26.593]","(28585.573, 29905.06]","(27.993, 29.99]","(13.43, 16.072]","(11357.499, 12680.879]","(6.026, 8.021]",20350.0,5402.0
"(18.72, 21.37]","(12700.377, 14029.26]","(12.148, 14.129]","(21.303, 23.948]","(24627.113, 25946.6]","(2.027, 4.025]","(8.146, 10.788]","(21944.534, 23267.913]","(25.979, 27.975]",20881.0,4997.0
"(37.27, 39.92]","(15358.143, 16687.027]","(20.073, 22.055]","(5.431, 8.076]","(18029.68, 19349.167]","(23.998, 25.995]","(2.862, 5.504]","(17974.396, 19297.775]","(10.017, 12.012]",121.0,84.0
"(16.07, 18.72]","(18015.91, 19344.793]","(8.185, 10.167]","(37.175, 39.82]","(27266.087, 28585.573]","(4e-05, 2.027]","(0.18, 2.862]","(21944.534, 23267.913]","(12.012, 14.007]",17485.0,5029.0
"(37.27, 39.92]","(20673.677, 22002.56]","(26.017, 27.999]","(21.303, 23.948]","(10092.968, 11432.247]","(4e-05, 2.027]","(2.862, 5.504]","(24591.293, 25914.672]","(10.017, 12.012]",3591.0,631.0
"(24.02, 26.67]","(16687.027, 18015.91]","(16.111, 18.092]","(0.1, 2.785]","(21988.14, 23307.627]","(23.998, 25.995]","(18.714, 21.356]","(15327.637, 16651.017]","(12.012, 14.007]",240.0,76.0
"(5.47, 8.12]","(24660.327, 25989.21]","(26.017, 27.999]","(26.593, 29.239]","(23307.627, 24627.113]","(23.998, 25.995]","(5.504, 8.146]","(12680.879, 14004.258]","(2.035, 4.031]",16857.0,3469.0
"(34.62, 37.27]","(28646.977, 29975.86]","(8.185, 10.167]","(18.657, 21.303]","(10092.968, 11432.247]","(8.019, 10.017]","(21.356, 23.998]","(17974.396, 19297.775]","(4.031, 6.026]",5516.0,938.0
"(8.12, 10.77]","(27318.093, 28646.977]","(10.167, 12.148]","(26.593, 29.239]","(12751.733, 14071.22]","(16.009, 18.006]","(26.64, 29.282]","(20621.155, 21944.534]","(14.007, 16.003]",10164.0,1760.0
"(29.32, 31.97]","(27318.093, 28646.977]","(24.036, 26.017]","(23.948, 26.593]","(16710.193, 18029.68]","(8.019, 10.017]","(18.714, 21.356]","(25914.672, 27238.051]","(19.993, 21.989]",19672.0,3733.0
