binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(16.26, 24.014]","(22544.526, 26307.966]","(7.036, 12.32]","(24.99, 32.55]","(19080.122, 22466.49]","(25.25, 29.99]","(33.278, 39.85]","(26000.772, 29884.81]","(0.039, 6.5]",23694.0,4844.0
"(0.169, 9.756]","(14386.418, 18069.604]","(0.259, 7.036]","(17.672, 24.99]","(22466.49, 26059.108]","(19.152, 25.25]","(33.278, 39.85]","(26000.772, 29884.81]","(24.282, 29.97]",21877.0,4001.0
"(16.26, 24.014]","(18069.604, 22544.526]","(7.036, 12.32]","(0.139, 7.396]","(19080.122, 22466.49]","(4.822, 11.406]","(24.384, 33.278]","(21919.814, 26000.772]","(24.282, 29.97]",6798.0,1656.0
"(9.756, 16.26]","(18069.604, 22544.526]","(0.259, 7.036]","(24.99, 32.55]","(22466.49, 26059.108]","(0.028999999999999998, 4.822]","(16.724, 24.384]","(21919.814, 26000.772]","(0.039, 6.5]",25121.0,5627.0
"(32.782, 39.92]","(22544.526, 26307.966]","(7.036, 12.32]","(0.139, 7.396]","(22466.49, 26059.108]","(0.028999999999999998, 4.822]","(8.736, 16.724]","(18066.412, 21919.814]","(11.832, 18.14]",23086.0,5152.0
"(0.169, 9.756]","(10042.609, 14386.418]","(24.714, 29.98]","(17.672, 24.99]","(10112.759, 14434.652]","(11.406, 19.152]","(8.736, 16.724]","(13873.478, 18066.412]","(18.14, 24.282]",1843.0,310.0
"(9.756, 16.26]","(18069.604, 22544.526]","(24.714, 29.98]","(24.99, 32.55]","(22466.49, 26059.108]","(25.25, 29.99]","(16.724, 24.384]","(21919.814, 26000.772]","(6.5, 11.832]",20303.0,3693.0
"(32.782, 39.92]","(10042.609, 14386.418]","(0.259, 7.036]","(17.672, 24.99]","(10112.759, 14434.652]","(19.152, 25.25]","(0.219, 8.736]","(10034.119, 13873.478]","(0.039, 6.5]",7494.0,1410.0
"(32.782, 39.92]","(26307.966, 29975.86]","(0.259, 7.036]","(17.672, 24.99]","(10112.759, 14434.652]","(25.25, 29.99]","(0.219, 8.736]","(26000.772, 29884.81]","(11.832, 18.14]",3214.0,643.0
"(9.756, 16.26]","(14386.418, 18069.604]","(18.838, 24.714]","(7.396, 17.672]","(26059.108, 29905.06]","(25.25, 29.99]","(16.724, 24.384]","(26000.772, 29884.81]","(18.14, 24.282]",0.0,3.0
"(16.26, 24.014]","(14386.418, 18069.604]","(18.838, 24.714]","(0.139, 7.396]","(26059.108, 29905.06]","(25.25, 29.99]","(8.736, 16.724]","(13873.478, 18066.412]","(11.832, 18.14]",70.0,33.0
"(24.014, 32.782]","(14386.418, 18069.604]","(18.838, 24.714]","(7.396, 17.672]","(10112.759, 14434.652]","(4.822, 11.406]","(0.219, 8.736]","(21919.814, 26000.772]","(6.5, 11.832]",6209.0,1023.0
"(9.756, 16.26]","(22544.526, 26307.966]","(0.259, 7.036]","(0.139, 7.396]","(10112.759, 14434.652]","(4.822, 11.406]","(16.724, 24.384]","(13873.478, 18066.412]","(6.5, 11.832]",3795.0,679.0
"(24.014, 32.782]","(14386.418, 18069.604]","(18.838, 24.714]","(0.139, 7.396]","(10112.759, 14434.652]","(11.406, 19.152]","(0.219, 8.736]","(21919.814, 26000.772]","(0.039, 6.5]",911.0,314.0
"(9.756, 16.26]","(14386.418, 18069.604]","(0.259, 7.036]","(32.55, 39.82]","(19080.122, 22466.49]","(4.822, 11.406]","(16.724, 24.384]","(10034.119, 13873.478]","(6.5, 11.832]",17005.0,4104.0
"(16.26, 24.014]","(22544.526, 26307.966]","(12.32, 18.838]","(32.55, 39.82]","(14434.652, 19080.122]","(11.406, 19.152]","(33.278, 39.85]","(13873.478, 18066.412]","(11.832, 18.14]",14635.0,2909.0
"(0.169, 9.756]","(22544.526, 26307.966]","(0.259, 7.036]","(32.55, 39.82]","(26059.108, 29905.06]","(4.822, 11.406]","(8.736, 16.724]","(21919.814, 26000.772]","(24.282, 29.97]",25951.0,6054.0
"(32.782, 39.92]","(18069.604, 22544.526]","(12.32, 18.838]","(0.139, 7.396]","(26059.108, 29905.06]","(11.406, 19.152]","(8.736, 16.724]","(10034.119, 13873.478]","(11.832, 18.14]",1554.0,557.0
"(9.756, 16.26]","(22544.526, 26307.966]","(0.259, 7.036]","(24.99, 32.55]","(14434.652, 19080.122]","(19.152, 25.25]","(16.724, 24.384]","(21919.814, 26000.772]","(0.039, 6.5]",14356.0,2528.0
"(0.169, 9.756]","(14386.418, 18069.604]","(18.838, 24.714]","(24.99, 32.55]","(19080.122, 22466.49]","(11.406, 19.152]","(0.219, 8.736]","(13873.478, 18066.412]","(0.039, 6.5]",13152.0,2776.0
"(16.26, 24.014]","(18069.604, 22544.526]","(12.32, 18.838]","(32.55, 39.82]","(26059.108, 29905.06]","(19.152, 25.25]","(33.278, 39.85]","(13873.478, 18066.412]","(11.832, 18.14]",23250.0,5768.0
"(9.756, 16.26]","(10042.609, 14386.418]","(12.32, 18.838]","(32.55, 39.82]","(10112.759, 14434.652]","(0.028999999999999998, 4.822]","(8.736, 16.724]","(26000.772, 29884.81]","(11.832, 18.14]",8368.0,1367.0
"(32.782, 39.92]","(26307.966, 29975.86]","(18.838, 24.714]","(7.396, 17.672]","(19080.122, 22466.49]","(25.25, 29.99]","(8.736, 16.724]","(26000.772, 29884.81]","(18.14, 24.282]",94.0,77.0
"(24.014, 32.782]","(14386.418, 18069.604]","(0.259, 7.036]","(17.672, 24.99]","(14434.652, 19080.122]","(0.028999999999999998, 4.822]","(16.724, 24.384]","(21919.814, 26000.772]","(24.282, 29.97]",15465.0,2775.0
"(0.169, 9.756]","(22544.526, 26307.966]","(7.036, 12.32]","(32.55, 39.82]","(10112.759, 14434.652]","(4.822, 11.406]","(33.278, 39.85]","(26000.772, 29884.81]","(18.14, 24.282]",5382.0,821.0
"(32.782, 39.92]","(10042.609, 14386.418]","(24.714, 29.98]","(0.139, 7.396]","(19080.122, 22466.49]","(19.152, 25.25]","(33.278, 39.85]","(10034.119, 13873.478]","(18.14, 24.282]",230.0,86.0
"(24.014, 32.782]","(26307.966, 29975.86]","(12.32, 18.838]","(7.396, 17.672]","(14434.652, 19080.122]","(11.406, 19.152]","(8.736, 16.724]","(13873.478, 18066.412]","(18.14, 24.282]",14126.0,2746.0
"(32.782, 39.92]","(18069.604, 22544.526]","(0.259, 7.036]","(7.396, 17.672]","(22466.49, 26059.108]","(19.152, 25.25]","(33.278, 39.85]","(26000.772, 29884.81]","(6.5, 11.832]",25551.0,5520.0
"(0.169, 9.756]","(10042.609, 14386.418]","(0.259, 7.036]","(24.99, 32.55]","(10112.759, 14434.652]","(25.25, 29.99]","(24.384, 33.278]","(10034.119, 13873.478]","(0.039, 6.5]",1904.0,373.0
"(24.014, 32.782]","(18069.604, 22544.526]","(12.32, 18.838]","(24.99, 32.55]","(26059.108, 29905.06]","(19.152, 25.25]","(24.384, 33.278]","(18066.412, 21919.814]","(11.832, 18.14]",25155.0,5949.0
