binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(16.26, 20.44]","(23975.204, 26307.966]","(7.036, 9.531]","(29.325, 32.55]","(19080.122, 20981.91]","(27.817, 29.99]","(33.278, 36.24]","(27436.739, 29884.81]","(2.898, 6.5]",23694.0,4844.0
"(0.169, 4.058]","(16071.688, 18069.604]","(2.819, 7.036]","(17.672, 21.69]","(24705.013, 26059.108]","(19.152, 22.843]","(36.24, 39.85]","(27436.739, 29884.81]","(27.209, 29.97]",21877.0,4001.0
"(20.44, 24.014]","(20333.54, 22544.526]","(9.531, 12.32]","(0.139, 3.724]","(20981.91, 22466.49]","(9.34, 11.406]","(24.384, 29.128]","(23524.053, 26000.772]","(24.282, 27.209]",6798.0,1656.0
"(13.292, 16.26]","(20333.54, 22544.526]","(2.819, 7.036]","(29.325, 32.55]","(24705.013, 26059.108]","(2.081, 4.822]","(19.94, 24.384]","(21919.814, 23524.053]","(2.898, 6.5]",25121.0,5627.0
"(32.782, 36.458]","(23975.204, 26307.966]","(7.036, 9.531]","(3.724, 7.396]","(22466.49, 24705.013]","(0.028999999999999998, 2.081]","(8.736, 12.936]","(18066.412, 19989.86]","(11.832, 15.67]",23086.0,5152.0
"(0.169, 4.058]","(10042.609, 11974.945]","(24.714, 27.351]","(21.69, 24.99]","(10112.759, 11772.474]","(15.135, 19.152]","(12.936, 16.724]","(15851.919, 18066.412]","(20.842, 24.282]",1843.0,310.0
"(9.756, 13.292]","(18069.604, 20333.54]","(24.714, 27.351]","(29.325, 32.55]","(22466.49, 24705.013]","(27.817, 29.99]","(19.94, 24.384]","(23524.053, 26000.772]","(6.5, 9.597]",20303.0,3693.0
"(36.458, 39.92]","(10042.609, 11974.945]","(0.259, 2.819]","(17.672, 21.69]","(11772.474, 14434.652]","(22.843, 25.25]","(4.359, 8.736]","(11185.643, 13873.478]","(2.898, 6.5]",7494.0,1410.0
"(32.782, 36.458]","(28245.716, 29975.86]","(0.259, 2.819]","(21.69, 24.99]","(10112.759, 11772.474]","(27.817, 29.99]","(4.359, 8.736]","(26000.772, 27436.739]","(15.67, 18.14]",3214.0,643.0
"(9.756, 13.292]","(14386.418, 16071.688]","(18.838, 22.113]","(11.317, 17.672]","(28027.804, 29905.06]","(27.817, 29.99]","(16.724, 19.94]","(27436.739, 29884.81]","(18.14, 20.842]",0.0,3.0
