binned_RP1,binned_IP1,binned_WP1,binned_VAP1,binned_TPMIN1,binned_TPMAX1,binned_RP2,binned_IP2,binned_WP2,binned_VAP2,binned_TPMIN2,binned_TPMAX2,binned_RP3,binned_IP3,binned_WP3,binned_VAP3,binned_TPMIN3,binned_TPMAX3,Yield_max,Cost
"(4.975, 17.5]","(15000.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(24.75, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.01, 5.0]","(1.1, 1.35]","(14.993, 18.5]","(22.996, 24.75]","(17.5, 30.0]","(20000.0, 30000.0]","(5.0, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]",18024.0,0.5568143406
"(17.5, 30.0]","(9990.0, 15000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(24.75, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(5.0, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(24.75, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(5.0, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",18617.0,0.6272080826888888
"(4.975, 17.5]","(15000.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(22.996, 24.75]","(17.5, 30.0]","(20000.0, 30000.0]","(5.0, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(24.75, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.01, 5.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",11812.0,0.5398336777777779
"(4.975, 17.5]","(15000.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.996, 24.75]","(4.975, 17.5]","(9980.0, 20000.0]","(5.0, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.996, 24.75]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.01, 5.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",15180.0,0.4911673525555555
"(17.5, 30.0]","(15000.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(24.75, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.01, 5.0]","(1.1, 1.35]","(18.5, 22.0]","(24.75, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.01, 5.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",8723.0,0.5992668371777777
"(17.5, 30.0]","(15000.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.996, 24.75]","(17.5, 30.0]","(9980.0, 20000.0]","(5.0, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.996, 24.75]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.01, 5.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]",14473.0,0.5927443081111111
"(17.5, 30.0]","(15000.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.996, 24.75]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.01, 5.0]","(1.1, 1.35]","(18.5, 22.0]","(22.996, 24.75]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.01, 5.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",4246.0,0.5212670946666667
"(17.5, 30.0]","(15000.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(24.75, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.01, 5.0]","(1.1, 1.35]","(18.5, 22.0]","(24.75, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.01, 5.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]",1088.0,0.3787880038444445
"(4.975, 17.5]","(9990.0, 15000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(24.75, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.01, 5.0]","(1.35, 1.6]","(14.993, 18.5]","(24.75, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(5.0, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]",8222.0,0.4085664213555555
"(4.975, 17.5]","(9990.0, 15000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.996, 24.75]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.01, 5.0]","(1.1, 1.35]","(14.993, 18.5]","(22.996, 24.75]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.01, 5.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]",3734.0,0.3580220591777778
