binned_RP1,binned_IP1,binned_WP1,binned_VAP1,binned_TPMIN1,binned_TPMAX1,binned_RP2,binned_IP2,binned_WP2,binned_VAP2,binned_TPMIN2,binned_TPMAX2,binned_RP3,binned_IP3,binned_WP3,binned_VAP3,binned_TPMIN3,binned_TPMAX3,Yield_max,TWP,Cost
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",403.0,94.0,0.2634543202888889
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",56.0,101.0,0.1992562775555555
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",9813.0,5333.0,0.2527923025555556
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",12.0,3.0,0.3559142450888889
"(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",95.0,22.0,0.3042228440222221
"(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",8335.0,2572.0,0.3819848314222223
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]",179.0,38.0,0.4491802523555555
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]",6681.0,1447.0,0.4131117489333333
"(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",776.0,202.0,0.4373166927333332
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",604.0,138.0,0.3554331425333333
"(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",7920.0,13420.0,0.3818254021333334
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",7276.0,1225.0,0.4168262010666667
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]",2695.0,6138.0,0.3394929448666666
"(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",15610.0,3296.0,0.4564652816222223
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",47.0,16.0,0.3382218854666666
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",18916.0,6236.0,0.3967524235111111
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",14772.0,9483.0,0.348948225
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",14.0,10.0,0.3277383843999999
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",1.0,3.0,0.2776648867555556
"(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]",24893.0,5849.0,0.5291082739333334
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]",9200.0,7985.0,0.361416951711111
"(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",382.0,890.0,0.2881819931555555
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",35.0,20.0,0.321666373711111
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",22525.0,5817.0,0.3407427621777778
"(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",11968.0,5108.0,0.3398122931555555
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",7588.0,9945.0,0.4279428062000001
"(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",0.0,3226.0,0.2764092281999999
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]",12740.0,3444.0,0.4634021709333334
"(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]",71.0,29.0,0.2611621553333333
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]",8132.0,2536.0,0.4181118252222222
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]",1853.0,443.0,0.3664044517111112
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",9.0,3.0,0.3278333322666666
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]",10536.0,3850.0,0.3641111923111111
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]",15842.0,10599.0,0.4804469115333333
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",14691.0,2714.0,0.492218592088889
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",11918.0,11252.0,0.5079871433777778
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]",9.0,2.0,0.3498863487111111
"(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",19011.0,4190.0,0.3985647335555555
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",1350.0,2371.0,0.2975484200888889
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]",17197.0,3284.0,0.3731802645333332
"(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]",331.0,139.0,0.2852167410222222
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]",7714.0,8045.0,0.4370425506444443
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]",5274.0,925.0,0.3155658111111111
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",2589.0,484.0,0.3952108615333332
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]",25257.0,7011.0,0.3918636273555555
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]",187.0,38.0,0.2969095976444444
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",9.0,5.0,0.2995866226444444
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",5444.0,11494.0,0.4096834006444445
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]",11853.0,5308.0,0.4288018608888889
"(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",2532.0,1584.0,0.3201245198666666
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]",23.0,10.0,0.3436386106888888
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",5053.0,1181.0,0.3672131164444445
"(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]",3697.0,1128.0,0.4035328510666667
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",0.0,1.0,0.2538462375999999
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",3122.0,537.0,0.3463550982888889
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",16868.0,3525.0,0.3211105044888889
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",12648.0,10411.0,0.4304006769333334
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",1390.0,257.0,0.4003686698666666
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",0.0,88.0,0.2852507893111111
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",16722.0,12380.0,0.3533685801333333
"(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",6.0,793.0,0.2211572230666666
