binned_RP1,binned_IP1,binned_WP1,binned_VAP1,binned_TPMIN1,binned_TPMAX1,binned_RP2,binned_IP2,binned_WP2,binned_VAP2,binned_TPMIN2,binned_TPMAX2,binned_RP3,binned_IP3,binned_WP3,binned_VAP3,binned_TPMIN3,binned_TPMAX3,Yield_max,Cost
"(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]",14269.0,0.5910192128222221
"(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]",19708.0,0.6180286249999999
"(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",1489.0,0.5438327961555556
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]",14933.0,0.5967450886666666
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]",5232.0,0.5910255478666667
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]",9962.0,0.5558282931555555
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]",2178.0,0.5218389927333332
"(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]",14911.0,0.4450494423111111
"(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",7166.0,0.5581830117555556
"(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",13079.0,0.5417619173111111
"(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",18156.0,0.5341291198666667
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",1413.0,0.5132044613333334
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",11070.0,0.5768515632444446
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",1439.0,0.5359973786222222
"(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",9170.0,0.5773918715777778
"(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]",19118.0,0.5092581611111112
"(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",623.0,0.5448660034222222
"(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]",2105.0,0.5070245433777777
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]",2310.0,0.5199521544888889
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]",0.0,0.6497704801333334
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]",7406.0,0.4355070367555556
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",13634.0,0.5226862365333333
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]",14366.0,0.5143993970222221
"(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",1718.0,0.5006658989333335
"(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]",5042.0,0.5183162125999999
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]",3919.0,0.4449984715777777
"(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]",6908.0,0.4572844224444445
"(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",16049.0,0.6287068091777778
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",1452.0,0.4684110589777777
"(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]",18380.0,0.5418959053333334
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]",11910.0,0.5652894267111112
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]",22278.0,0.6583685615333335
"(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",8308.0,0.5336570416666667
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",4937.0,0.5049000844000001
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",16253.0,0.6452544944444445
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",10205.0,0.5039108773555555
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",15651.0,0.5562616102666667
"(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",8410.0,0.5035364484888888
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]",9715.0,0.501645015377778
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",1037.0,0.4387169083333333
"(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]",1128.0,0.493560475
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]",393.0,0.5931484029999999
"(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]",1016.0,0.5206022534222222
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",21125.0,0.6583614119555555
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]",14596.0,0.4435942361111111
"(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]",48.0,0.4108891243555556
"(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",17072.0,0.5543011010666667
"(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",0.0,0.5005072608888889
"(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",18697.0,0.562625045088889
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",18464.0,0.6429503826888889
"(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]",14685.0,0.5555725042666667
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]",14043.0,0.6318719931555555
"(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",1048.0,0.4382334427333333
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]",20877.0,0.7162099625999999
"(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]",11066.0,0.5094370837555556
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",763.0,0.5937322762888888
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",12580.0,0.5379559497777778
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",7242.0,0.4836878495777778
"(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",17365.0,0.5278900006444445
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]",20604.0,0.4905797835333333
"(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]",1.0,0.5024337839777778
"(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",11693.0,0.6254051089777778
