binned_RP1,binned_IP1,binned_WP1,binned_VAP1,binned_TPMIN1,binned_TPMAX1,binned_RP2,binned_IP2,binned_WP2,binned_VAP2,binned_TPMIN2,binned_TPMAX2,binned_RP3,binned_IP3,binned_WP3,binned_VAP3,binned_TPMIN3,binned_TPMAX3,Yield_max,Cost
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]",4942.0,0.5592790914444444
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",1347.0,0.4989376254222222
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",10442.0,0.5233552339777777
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",10264.0,0.5110229348222223
"(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]",8678.0,0.4798471472222222
"(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]",3563.0,0.3923277014888888
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]",16765.0,0.5076294790666667
"(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",11284.0,0.5560485493555555
"(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",17.0,0.5025940914444446
"(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]",9548.0,0.5264134812
